provider_id,provider_name,department_id,experience_years,provider_type
PR001,Dr. Diya Sharma,D004,24,Consultant
PR002,Dr. Rohan Iyer,D006,6,Consultant
PR003,Dr. Meera Reddy,D010,2,Consultant
PR004,Dr. Diya Gupta,D003,12,Consultant
PR005,Dr. Pooja Patel,D005,16,Consultant
PR006,Dr. Varun Mehta,D006,11,Specialist
PR007,Dr. Ananya Sharma,D002,16,Specialist
PR008,Dr. Arjun Iyer,D001,14,Consultant
PR009,Dr. Meera Rao,D001,16,Specialist
PR010,Dr. Aditi Sharma,D004,3,Specialist
PR011,Dr. Pooja Iyer,D001,23,Consultant
PR012,Dr. Pooja Mehta,D008,14,Consultant
PR013,Dr. Meera Singh,D010,13,Specialist
PR014,Dr. Varun Nair,D001,24,Consultant
PR015,Dr. Aarav Reddy,D005,5,Consultant
PR016,Dr. Nisha Das,D001,13,Consultant
PR017,Dr. Rohan Reddy,D002,16,Consultant
PR018,Dr. Rahul Das,D004,14,Specialist
PR019,Dr. Diya Patel,D004,3,Specialist
PR020,Dr. Aditya Patel,D010,21,Consultant
PR021,Dr. Priya Das,D004,17,Specialist
PR022,Dr. Aditi Nair,D005,15,Specialist
PR023,Dr. Ananya Joshi,D003,22,Specialist
PR024,Dr. Karan Rao,D001,3,Consultant
PR025,Dr. Diya Mehta,D009,18,Consultant
PR026,Dr. Arjun Rao,D001,17,Consultant
PR027,Dr. Neha Gupta,D010,5,Consultant
PR028,Dr. Aditi Das,D002,12,Consultant
PR029,Dr. Varun Iyer,D006,14,Consultant
PR030,Dr. Arjun Sharma,D010,7,Consultant
PR031,Dr. Meera Nair,D002,18,Consultant
PR032,Dr. Rohan Singh,D005,2,Specialist
PR033,Dr. Priya Reddy,D008,10,Consultant
PR034,Dr. Rahul Gupta,D001,22,Specialist
PR035,Dr. Rohan Joshi,D007,19,Specialist
PR036,Dr. Arjun Kulkarni,D001,12,Consultant
PR037,Dr. Kavya Rao,D003,15,Consultant
PR038,Dr. Karan Mehta,D002,3,Specialist
PR039,Dr. Rohan Gupta,D009,21,Consultant
PR040,Dr. Vikram Sharma,D002,12,Specialist
PR041,Dr. Meera Sharma,D001,3,Specialist
PR042,Dr. Vikram Mehta,D006,5,Consultant
PR043,Dr. Rohan Patel,D004,14,Consultant
PR044,Dr. Rahul Kulkarni,D004,7,Consultant
PR045,Dr. Vikram Iyer,D002,8,Specialist
PR046,Dr. Sneha Mehta,D008,23,Specialist
PR047,Dr. Karan Reddy,D006,21,Specialist
PR048,Dr. Meera Joshi,D004,4,Consultant
PR049,Dr. Pooja Rao,D002,5,Consultant
PR050,Dr. Priya Iyer,D006,22,Consultant
PR051,Dr. Ishaan Rao,D008,21,Specialist
PR052,Dr. Sneha Patel,D004,4,Consultant
PR053,Dr. Ananya Patel,D001,2,Consultant
PR054,Dr. Ishaan Gupta,D003,20,Specialist
PR055,Dr. Kavya Gupta,D007,22,Consultant
PR056,Dr. Nisha Kulkarni,D010,14,Consultant
PR057,Dr. Arjun Mehta,D001,15,Consultant
PR058,Dr. Aditya Kulkarni,D004,23,Consultant
PR059,Dr. Rohan Rao,D001,17,Specialist
PR060,Dr. Aarav Gupta,D004,5,Consultant
PR061,Dr. Pooja Nair,D004,18,Consultant
PR062,Dr. Vikram Patel,D010,11,Consultant
PR063,Dr. Neha Mehta,D001,8,Consultant
PR064,Dr. Kavya Singh,D008,14,Consultant
PR065,Dr. Aarav Joshi,D004,14,Consultant
PR066,Dr. Sanjay Kulkarni,D008,23,Specialist
PR067,Dr. Rahul Reddy,D006,15,Consultant
PR068,Dr. Aarav Kulkarni,D001,7,Specialist
PR069,Dr. Vikram Singh,D010,17,Consultant
PR070,Dr. Aarav Patel,D001,10,Specialist
PR071,Dr. Priya Nair,D006,21,Consultant
PR072,Dr. Meera Kulkarni,D009,17,Consultant
PR073,Dr. Arjun Patel,D001,22,Specialist
PR074,Dr. Pooja Reddy,D006,22,Consultant
PR075,Dr. Sneha Rao,D008,13,Consultant
PR076,Dr. Kavya Nair,D010,17,Consultant
PR077,Dr. Nisha Iyer,D007,6,Consultant
PR078,Dr. Pooja Joshi,D003,25,Consultant
PR079,Dr. Rahul Joshi,D007,12,Consultant
PR080,Dr. Priya Singh,D007,2,Specialist
